air_intake_temp_unit,air_intake_temp_value,altitude_unit,altitude_value,ambient_air_temp_unit,ambient_air_temp_value,barometric_pressure_unit,barometric_pressure_value,dtc_number,engine_coolant_temp_unit,engine_coolant_temp_value,engine_load_value,engine_rpm_unit,engine_rpm_value,engine_runtime,epoch,equiv_ratio_value,fuel_level_value,intake_manifold_pressure_unit,intake_manifold_pressure_value,latitude,longitude,maf_unit,maf_value,short term fuel trim bank 1,speed_unit,speed_value,throttle_pos_value,timing_advance_value,vehicle_id
C,33,m,44,C,28,kPa,100,MIL is OFF0 codes,C,83,0.22,RPM,881,00:12:22,XXXXX,0.01,0.71,kPa,31,-3.518205,-58.690212,g/s,4,-0.023,km/h,50,0.212,0.627,s11
C,33,m,44,C,28,kPa,100,MIL is OFF0 codes,C,83,0.38,RPM,797,00:12:26,XXXXX,0.01,0.71,kPa,70,-3.518181,-58.694587,g/s,4,-0.125,km/h,51,0.2,0.557,s11
C,33,m,43,C,28,kPa,100,MIL is OFF0 codes,C,83,0.204,RPM,1420,00:12:30,XXXXX,0.01,0.706,kPa,30,-3.518161,-58.698388,g/s,3,0.016,km/h,20,0.208,0.667,s11
C,34,m,43,C,28,kPa,100,MIL is OFF0 codes,C,84,0.396,RPM,784,00:12:34,XXXXX,0.01,0.702,kPa,32,-3.518161,-58.698388,g/s,4,-0.047,km/h,0,0.204,0.576,s11
C,34,m,43,C,28,kPa,100,MIL is OFF0 codes,C,84,0.341,RPM,823,00:12:38,XXXXX,0.01,0.694,kPa,30,-3.518161,-58.698388,g/s,3,0.023,km/h,0,0.196,0.549,s11
C,34,m,43,C,28,kPa,100,MIL is OFF0 codes,C,84,0.369,RPM,816,00:12:42,XXXXX,0.01,0.69,kPa,33,-3.518161,-58.698388,g/s,3,-0.008,km/h,0,0.2,0.584,s11
C,33,m,45,C,28,kPa,100,MIL is OFF0 codes,C,83,0.341,RPM,1870,00:13:58,XXXXX,0.01,0.71,kPa,27,-3.5179,-58.745084,g/s,9,0.016,km/h,58,0.278,0.741,s11
C,33,m,40,C,28,kPa,100,MIL is OFF0 codes,C,83,0.365,RPM,1892,00:14:06,XXXXX,0.01,0.702,kPa,33,-3.517833,-5.875459,g/s,10,0.016,km/h,58,0.29,0.729,s11
C,33,m,37,C,28,kPa,100,MIL is OFF0 codes,C,82,0.192,RPM,1934,00:14:14,XXXXX,0.01,0.698,kPa,20,-3.517766,-58.764076,g/s,5,0,km/h,57,0.235,0.631,s11
C,34,m,43,C,28,kPa,100,MIL is OFF0 codes,C,84,0.38,RPM,786,00:12:46,XXXXX,0.01,0.69,kPa,31,-3.518161,-58.698388,g/s,4,-0.023,km/h,0,0.2,0.584,s11
C,33,m,36,C,28,kPa,100,MIL is OFF0 codes,C,84,0.435,RPM,2021,00:09:29,XXXXX,0.01,0.714,kPa,37,-3.519549,-58.584379,g/s,13,0.062,km/h,61,0.306,0.714,s11
C,33,m,36,C,28,kPa,100,MIL is OFF0 codes,C,83,0.349,RPM,2016,00:09:37,XXXXX,0.01,0.718,kPa,28,-3.519454,-58.591916,g/s,10,0.07,km/h,59,0.29,0.729,s11
C,34,m,43,C,28,kPa,100,MIL is OFF0 codes,C,83,0.357,RPM,797,00:12:54,XXXXX,0.01,0.69,kPa,32,-3.518161,-58.698388,g/s,4,-0.016,km/h,0,0.2,0.58,s11
C,34,m,43,C,28,kPa,100,MIL is OFF0 codes,C,83,0.361,RPM,795,00:12:58,XXXXX,0.01,0.69,kPa,32,-3.518161,-58.698388,g/s,3,0.039,km/h,0,0.2,0.58,s11
C,34,m,43,C,28,kPa,100,MIL is OFF0 codes,C,83,0.353,RPM,791,00:13:06,XXXXX,0.01,0.69,kPa,30,-3.518161,-58.698388,g/s,3,-0.023,km/h,0,0.2,0.569,s11
C,34,m,43,C,28,kPa,100,MIL is OFF0 codes,C,83,0.353,RPM,780,00:13:10,XXXXX,0.01,0.69,kPa,33,-3.518161,-58.698388,g/s,3,0.031,km/h,0,0.2,0.588,s11
C,34,m,43,C,28,kPa,100,MIL is OFF0 codes,C,83,0.349,RPM,809,00:13:14,XXXXX,0.01,0.694,kPa,57,-3.518161,-58.698388,g/s,3,0.023,km/h,6,0.2,0.557,s11
C,33,m,41,C,28,kPa,100,MIL is OFF0 codes,C,83,0.882,RPM,2431,00:13:18,XXXXX,0.01,0.698,kPa,84,-3.518156,-58.700108,g/s,7,0.055,km/h,32,0.255,0.631,s11
C,32,m,38,C,28,kPa,100,MIL is OFF0 codes,C,83,0.788,RPM,2293,00:13:26,XXXXX,0.01,0.71,kPa,63,-3.518113,-58.708177,g/s,27,-0.094,km/h,52,0.357,0.682,s11
C,33,m,40,C,28,kPa,100,MIL is OFF0 codes,C,84,0.204,RPM,1826,00:13:30,XXXXX,0.01,0.71,kPa,49,-3.518092,-58.712949,g/s,6,0.023,km/h,53,0.282,0.769,s11
C,32,m,37,C,28,kPa,100,MIL is OFF0 codes,C,83,0.188,RPM,2366,00:13:22,XXXXX,0.01,0.71,kPa,71,-3.518134,-58.70378,g/s,6,0.047,km/h,44,0.243,0.616,s11
C,35,m,32,C,28,kPa,100,MIL is OFF0 codes,C,82,0.565,RPM,2512,00:04:16,XXXXX,0.01,0.706,kPa,40,-3.519641,-58.384693,g/s,20,-0.07,km/h,52,0.333,0.718,s11
C,32,m,42,C,28,kPa,100,MIL is OFF0 codes,C,84,0.573,RPM,1775,00:13:34,1513362531,0.01,0.71,kPa,50,-3.518069,-58.717519,g/s,14,-0.031,km/h,54,0.314,0.69,s11
C,32,m,43,C,28,kPa,100,MIL is OFF0 codes,C,84,0.58,RPM,1815,00:13:38,1513362535,0.01,0.71,kPa,50,-3.518043,-58.722582,g/s,15,-0.031,km/h,54,0.318,0.69,s11
C,33,m,44,C,28,kPa,100,MIL is OFF0 codes,C,84,0.592,RPM,1780,00:13:42,1513362539,0.01,0.71,kPa,35,-3.518019,-58.727472,g/s,15,-0.023,km/h,51,0.314,0.69,s11
C,33,m,44,C,28,kPa,100,MIL is OFF0 codes,C,83,0.882,RPM,2226,00:07:45,1513362182,0.01,0.718,kPa,60,-3.520235,-58.530674,g/s,29,-0.008,km/h,52,0.365,0.671,s11
C,36,m,46,C,28,kPa,100,MIL is OFF0 codes,C,82,0.792,RPM,2124,00:03:02,1513361900,0.01,0.745,kPa,61,-3.520429,-58.321307,g/s,24,-0.016,km/h,48,0.349,0.667,s11
C,36,m,52,C,28,kPa,100,MIL is OFF0 codes,C,83,0.784,RPM,2617,00:03:08,1513361904,0.01,0.741,kPa,44,-3.52038,-58.323103,g/s,30,-0.047,km/h,60,0.361,0.682,s11
C,36,m,45,C,28,kPa,100,MIL is OFF0 codes,C,82,0.373,RPM,3156,00:03:16,1513361913,0.01,0.737,kPa,63,-3.52027,-58.328462,g/s,18,0,km/h,65,0.325,0.753,s11
C,36,m,34,C,28,kPa,100,MIL is OFF0 codes,C,82,0.38,RPM,1859,00:03:44,1513361941,0.01,0.718,kPa,31,-3.519911,-58.356454,g/s,10,0.039,km/h,68,0.286,0.729,s11
C,36,m,32,C,28,(null),(null),MIL is OFF0 codes,C,83,0.871,RPM,775,00:04:04,1513361961,0.01,0.698,kPa,76,-3.519711,-58.374773,g/s,5,0.031,km/h,30,0.204,0.596,s11
C,33,m,36,C,28,kPa,100,MIL is OFF0 codes,C,84,0.906,RPM,1726,00:09:13,1513362270,0.01,0.702,kPa,63,-3.519738,-58.569613,g/s,23,-0.055,km/h,56,0.349,0.639,s11
C,33,m,37,C,28,kPa,100,MIL is OFF0 codes,C,84,0.604,RPM,2017,00:09:21,1513362278,0.01,0.706,kPa,38,-3.519648,-58.576573,g/s,18,-0.062,km/h,61,0.325,0.686,s11
C,34,m,36,C,28,kPa,100,MIL is OFF0 codes,C,83,0.267,RPM,1932,00:09:41,1513362298,0.01,0.718,kPa,19,-3.519407,-58.595535,g/s,7,0,km/h,54,0.259,0.757,s11
C,34,m,36,C,28,kPa,100,MIL is OFF0 codes,C,83,0.176,RPM,1744,00:09:45,1513362302,0.01,0.718,kPa,19,-3.51936,-58.599025,g/s,4,0,km/h,46,0.224,0.631,s11
C,34,m,47,C,28,kPa,100,MIL is OFF0 codes,C,89,0.184,RPM,1841,00:38:12,1513364008,0.01,0.686,kPa,19,-3.520546,-58.315664,g/s,5,0,km/h,27,0.227,0.631,s11
C,34,m,47,C,28,kPa,100,4101000761001:00410100076100,C,89,0.204,RPM,879,00:38:16,1513364012,0.01,0.682,kPa,32,-3.520569,-58.314917,g/s,3,0.125,km/h,12,0.204,0.678,s11
C,33,m,43,C,28,kPa,100,(null),C,89,0.608,RPM,1552,00:38:24,1513364020,0.01,0.667,kPa,51,-3.520579,-58.315558,g/s,14,-0.039,km/h,18,0.318,0.525,s11
C,34,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.388,RPM,793,00:09:53,1513362310,0.01,0.706,kPa,34,-3.519289,-58.604473,g/s,4,-0.016,km/h,7,0.204,0.557,s11
C,35,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.392,RPM,788,00:09:57,1513362314,0.01,0.698,kPa,33,-3.519277,-58.605604,g/s,4,0.023,km/h,0,0.208,0.502,s11
C,35,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.369,RPM,806,00:10:01,1513362318,0.01,0.694,kPa,32,-3.519277,-58.605604,g/s,4,0.047,km/h,0,0.204,0.553,s11
C,35,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.353,RPM,795,00:10:05,1513362322,0.01,0.694,kPa,31,-3.519277,-58.605604,g/s,4,0.07,km/h,0,0.208,0.561,s11
C,35,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.416,RPM,775,00:10:09,1513362326,0.01,0.69,kPa,36,-3.519277,-58.605604,g/s,4,-0.008,km/h,0,0.208,0.537,s11
C,35,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.416,RPM,802,00:10:13,1513362330,0.01,0.69,kPa,33,-3.519277,-58.605604,g/s,4,0.023,km/h,0,0.208,0.529,s11
C,35,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.404,RPM,800,00:10:17,1513362334,0.01,0.694,kPa,35,-3.519277,-58.605604,g/s,4,0.016,km/h,0,0.208,0.522,s11
C,35,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.408,RPM,770,00:10:21,1513362338,0.01,0.694,kPa,32,-3.519277,-58.605604,g/s,4,-0.031,km/h,0,0.208,0.541,s11
C,35,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.416,RPM,784,00:10:25,1513362342,0.01,0.698,kPa,52,-3.519277,-58.605604,g/s,4,-0.031,km/h,4,0.208,0.557,s11
C,34,m,35,C,28,kPa,100,MIL is OFF0 codes,C,83,0.875,RPM,1512,00:10:29,1513362346,0.01,0.702,kPa,75,-3.519263,-58.606679,g/s,23,0,km/h,22,0.353,0.557,s11
C,33,m,34,C,28,kPa,100,MIL is OFF0 codes,C,83,0.937,RPM,2271,00:10:33,1513362350,0.01,0.71,kPa,20,-3.519237,-58.60874,g/s,32,-0.055,km/h,35,0.373,0.659,s11
C,37,m,32,C,28,kPa,100,MIL is OFF0 codes,C,83,0.306,RPM,1692,00:03:56,1513361953,0.01,0.71,kPa,19,-3.519755,-58.368778,g/s,8,0.016,km/h,51,0.275,0.745,s11
C,33,m,37,C,28,kPa,100,MIL is OFF0 codes,C,84,0.443,RPM,2042,00:09:25,1513362282,0.01,0.71,kPa,39,-3.519599,-58.580542,g/s,13,0.062,(null),(null),0.306,0.714,s11
C,37,m,32,C,28,kPa,100,MIL is OFF0 codes,C,83,0.227,RPM,959,00:04:00,1513361957,0.01,0.706,kPa,51,-3.519721,-58.372958,g/s,4,-0.008,km/h,22,0.204,0.608,s11
C,35,m,33,C,28,kPa,100,MIL is OFF0 codes,C,82,1,RPM,2871,00:04:08,1513361965,0.01,0.702,kPa,70,-3.519693,-58.377143,g/s,48,0,km/h,43,0.42,0.659,s11
C,35,m,33,C,28,kPa,100,MIL is OFF0 codes,C,82,0.796,RPM,2223,00:04:12,1513361969,0.01,0.706,kPa,48,-3.51967,-58.380554,g/s,25,-0.039,km/h,50,0.349,0.675,s11
C,35,m,41,C,28,kPa,100,MIL is OFF0 codes,C,84,0.439,RPM,786,00:08:57,1513362254,0.01,0.694,kPa,45,-3.519816,-58.56337,g/s,4,-0.023,km/h,2,0.212,0.529,s11
C,33,m,33,C,28,kPa,100,MIL is OFF0 codes,C,83,0.749,RPM,1802,00:10:37,1513362354,0.01,0,kPa,55,-3.519206,-58.611142,g/s,20,-0.008,km/h,43,0.333,0.663,s11
C,33,m,33,C,28,kPa,100,MIL is OFF0 codes,C,83,0.651,RPM,2227,00:10:42,1513362358,0.01,0.718,kPa,30,-3.519169,-58.614022,g/s,21,-0.078,km/h,47,0.337,0.69,s11
C,33,m,35,C,28,kPa,100,MIL is OFF0 codes,C,83,0.18,RPM,2254,00:10:45,1513362362,0.01,0.718,kPa,35,-3.519135,-58.616695,g/s,6,0,km/h,41,0.243,0.675,s11
C,33,m,36,C,28,kPa,100,MIL is OFF0 codes,C,83,0.173,RPM,1951,00:10:49,1513362366,0.01,0.714,kPa,78,-3.519105,-58.618989,g/s,5,0,km/h,37,0.227,0.765,s11
C,33,m,37,C,28,kPa,100,MIL is OFF0 codes,C,85,0.431,RPM,776,00:20:36,1513362952,0.01,0.694,kPa,37,-3.517935,-58.808247,g/s,4,0.031,(null),(null),0.208,0.518,s11
C,33,m,37,C,28,kPa,100,MIL is OFF0 codes,C,83,0.863,RPM,2410,00:10:57,1513362374,0.01,0.718,kPa,56,-3.51903,-58.624808,g/s,27,-0.07,km/h,55,0.357,0.678,s11
C,33,m,35,C,28,kPa,100,MIL is OFF0 codes,C,84,0.518,RPM,1690,00:11:26,1513362402,0.01,0.718,kPa,37,-3.5187,-58.648806,g/s,12,0.008,km/h,62,0.302,0.698,s11
C,34,m,41,C,28,kPa,100,MIL is OFF0 codes,C,83,0.412,RPM,2060,00:07:29,1513362166,0.01,0.71,kPa,18,-3.520267,-58.522838,g/s,12,-0.008,km/h,20,0.302,0.722,s11
C,33,m,36,C,28,kPa,100,MIL is OFF0 codes,C,84,0.467,RPM,1547,00:11:14,1513362390,0.01,0.722,kPa,44,-3.51885,-58.638737,g/s,10,0,km/h,57,0.29,0.702,s11
